,rate
878,4.0
55036,3.0
20937,4.5
32456,3.5
43147,2.5
46080,3.5
37481,3.5
53401,4.5
44325,3.5
40694,3.0
3455,4.0
52048,3.0
57354,4.0
7701,4.5
54699,3.0
5246,2.5
5481,5.0
21384,3.0
3347,2.5
57476,4.0
37000,4.0
31935,3.5
36622,4.0
11207,4.5
45347,4.5
35462,3.0
13237,3.0
16634,0.5
44519,4.0
43133,4.0
7192,4.5
40049,3.0
4517,2.0
39342,4.5
926,5.0
43881,3.0
56287,5.0
12158,4.0
5169,3.0
1539,1.0
41498,3.0
28682,3.0
5266,0.5
13944,2.0
19930,3.0
877,5.0
6011,4.0
38967,3.5
4327,1.0
51958,4.0
36738,3.0
45321,3.5
46693,5.0
44232,3.5
39169,3.5
5614,1.0
15589,5.0
59009,2.0
4110,2.5
51846,1.0
28551,4.0
41683,3.5
21650,4.0
42813,5.0
48723,3.0
13616,4.0
34766,4.0
54655,1.0
5128,3.0
25083,4.0
21524,3.5
4491,5.0
44048,3.0
50725,4.0
47418,3.5
54302,4.0
48057,3.0
45889,4.5
44864,2.0
5203,4.5
53116,5.0
19903,5.0
58591,3.5
44013,4.0
29907,5.0
3950,0.5
10055,4.0
21749,3.5
40749,4.0
42865,3.0
4044,4.0
55998,3.0
34490,3.0
40836,3.0
17965,2.5
43590,4.0
51598,5.0
49169,5.0
54281,3.0
47854,3.0
36408,5.0
39248,4.0
42898,4.0
53969,4.0
43132,4.0
34187,3.0
57823,3.0
5634,2.5
10352,4.5
18511,5.0
9457,3.0
5842,4.0
36232,4.0
2011,4.0
19305,5.0
39346,3.5
11588,4.0
37704,1.0
47541,4.0
1385,3.5
46559,3.5
40616,4.5
56362,3.0
54447,3.0
34253,1.5
28923,3.0
16609,3.0
32800,4.0
39421,3.0
15715,2.0
14381,4.0
53424,2.0
48719,3.5
24299,2.0
19803,4.0
5361,5.0
10543,3.0
40487,4.0
49547,2.5
44844,4.0
1484,4.0
44987,3.0
8397,5.0
29164,3.0
39945,3.5
38683,2.5
58641,4.5
31097,4.0
59217,4.5
34112,2.0
25643,3.0
1643,3.5
51879,5.0
17469,5.0
19890,5.0
54202,4.0
30513,5.0
40369,5.0
6763,3.5
8844,3.5
36676,4.0
3072,4.0
52116,5.0
22000,4.0
41673,4.5
40944,3.5
17255,5.0
28244,5.0
37781,2.0
10195,2.5
18057,5.0
8916,4.0
18082,4.0
4640,4.0
57721,4.0
40291,5.0
37397,2.0
43910,1.0
27641,5.0
12627,4.5
26502,3.0
9928,3.0
16841,3.5
42784,1.0
37976,4.0
20480,5.0
13423,4.0
15599,5.0
54769,4.0
20303,3.0
33428,3.0
8638,4.0
19503,3.5
22187,4.0
58830,3.0
50080,4.0
12754,4.0
50452,2.5
31753,4.0
5290,3.0
46031,4.0
45176,4.0
26092,2.0
43261,2.0
6476,4.0
45809,4.0
40933,4.0
52382,4.0
29943,3.0
36050,5.0
21709,3.0
59405,4.0
36148,4.5
212,3.5
5995,3.0
33288,1.0
52939,3.0
48777,5.0
13357,4.0
38051,5.0
57183,4.0
45506,5.0
36174,5.0
50173,3.0
59757,5.0
8591,1.0
27619,5.0
50678,3.0
5926,2.5
42403,5.0
37282,4.5
13099,4.0
28812,5.0
38745,3.0
38409,3.5
43521,4.0
6386,4.5
40975,3.0
24111,4.0
15961,3.0
15408,2.5
30755,3.0
23569,3.0
58391,4.0
51205,3.0
641,5.0
10465,5.0
807,4.0
42308,3.0
31091,3.0
40404,4.0
3613,4.0
6414,5.0
45940,3.0
53148,2.0
44571,5.0
34777,4.0
52361,4.5
34286,2.5
12456,2.0
5587,3.0
24196,3.0
34415,5.0
18964,4.5
6783,3.5
9933,5.0
49066,3.0
58291,4.0
54014,1.0
28698,3.0
14851,3.0
34290,4.5
14011,5.0
58511,3.5
2634,3.0
34432,2.0
17504,5.0
4057,2.0
26017,0.5
10521,4.0
7773,4.0
25452,4.0
52456,4.0
56124,3.0
7022,4.0
34632,3.0
33779,4.0
17760,3.0
52196,4.0
14055,4.0
29183,5.0
15037,5.0
25900,5.0
24099,5.0
35922,5.0
25291,4.0
45305,4.0
12073,4.0
6098,2.0
9867,4.0
397,2.0
5603,4.0
38027,4.0
1943,4.5
51918,2.0
58902,4.0
4868,3.0
25750,4.0
16793,5.0
8463,3.0
19772,5.0
6457,3.5
54919,4.0
35530,5.0
38144,0.5
40070,2.0
33959,4.0
3366,3.5
8630,1.5
46573,3.0
36808,4.0
27029,3.0
2979,4.0
50621,4.0
31968,3.0
25881,4.0
10378,5.0
45330,4.0
55208,3.0
21786,3.0
30568,4.0
15115,3.0
46976,4.0
6709,4.5
57331,3.0
58563,4.0
25388,5.0
11879,4.0
6029,4.0
42208,4.0
55002,4.0
42554,4.0
40589,4.0
7462,4.5
50753,3.5
12973,3.5
7719,4.5
46507,4.5
42591,5.0
22098,3.0
12762,2.5
20166,5.0
49718,1.0
769,4.5
6057,5.0
51278,5.0
43562,5.0
3253,4.0
20693,3.0
22306,4.0
8932,4.0
39416,4.0
2482,5.0
13800,4.0
46916,1.0
40756,5.0
32820,1.5
35290,5.0
53912,4.0
29858,4.0
14094,4.0
51621,4.0
36197,4.0
46871,3.5
15073,1.0
57713,4.0
39102,3.0
15403,3.0
25171,2.5
12576,3.0
41196,3.0
42697,3.0
7640,1.0
58740,1.0
16580,4.0
47313,1.0
27518,4.0
25396,3.0
52603,5.0
54752,3.0
22713,4.5
18757,3.5
55089,4.0
29899,4.0
10468,2.0
39214,2.0
4092,5.0
16919,3.5
29866,3.0
31425,4.5
17130,3.5
55330,5.0
5943,4.0
6958,1.0
22067,4.0
34981,3.0
4231,2.5
18490,3.0
35481,3.5
51485,3.0
43815,4.0
54443,3.5
20378,2.0
14724,4.0
13078,3.5
45272,3.0
39957,4.0
40908,4.0
46073,4.0
16139,4.0
35362,4.0
37337,1.5
52927,4.0
44641,3.0
1094,5.0
36514,2.0
40329,2.0
21243,3.0
55950,4.5
18524,1.0
10806,4.5
35739,5.0
56720,2.0
22282,3.5
54238,4.0
48447,4.0
14958,3.5
44677,3.0
40566,3.0
45536,4.0
23767,3.5
54124,5.0
40058,4.0
54386,3.0
13754,5.0
29898,3.0
15776,2.5
43002,3.5
52966,3.5
54869,3.5
44272,1.0
6927,1.5
40407,4.0
13561,3.5
14450,5.0
41715,4.0
46985,3.0
793,4.0
32312,5.0
4532,3.5
30320,4.0
55501,4.0
25681,4.0
21425,2.0
4499,3.0
59141,4.5
41980,1.0
55577,4.0
45899,4.5
30465,4.0
34289,4.0
28708,4.0
41846,3.5
6554,4.0
12000,5.0
29571,4.0
9868,3.0
39233,4.0
48573,3.5
54578,4.0
33613,4.0
59111,4.0
47984,4.5
20362,4.0
47707,3.0
40742,3.0
53802,4.0
51265,3.0
18228,2.0
59226,2.0
8933,5.0
8281,4.0
44004,4.0
26351,4.0
2331,2.0
1506,3.0
31574,4.0
19099,3.5
8573,3.5
4488,5.0
32085,5.0
47907,5.0
58741,0.5
13059,4.5
5783,1.5
39687,2.0
47684,5.0
36665,4.5
12321,3.0
32240,5.0
19350,3.0
40345,2.0
40304,3.0
54519,4.0
12201,4.5
16607,4.5
59379,4.0
3456,3.5
44585,5.0
19769,3.0
24364,3.0
29620,3.0
52979,4.0
4094,3.0
6380,4.0
54224,3.0
6674,4.0
3758,3.0
17819,3.0
7158,4.0
38975,5.0
5392,1.5
1925,3.0
3172,5.0
7257,1.0
54027,4.5
28142,3.0
43921,5.0
25719,3.5
1658,4.0
48966,4.0
40519,4.0
50886,4.0
48321,3.0
43407,4.0
46430,4.0
53462,4.0
33406,3.5
50506,4.0
4758,3.5
42596,5.0
33511,3.0
37525,4.0
31002,5.0
38152,3.5
26588,3.5
26185,3.0
40090,4.0
34194,3.0
55755,5.0
49563,3.0
23480,3.0
12406,3.5
17114,4.0
29876,3.0
23397,4.0
53809,4.0
51523,3.0
42520,2.5
10175,3.0
39907,2.0
2994,3.0
27686,1.0
57108,4.0
33636,3.5
50415,3.0
48926,4.0
41416,4.0
47012,3.0
41266,5.0
11896,4.0
5013,2.0
5609,4.0
47704,3.0
52969,3.0
35483,3.0
58393,4.5
48337,3.5
2885,4.0
33102,1.0
44006,4.0
6300,2.0
28527,4.0
25500,4.5
12058,4.0
53626,1.5
1654,4.0
7432,4.5
28217,3.0
40355,3.0
15939,3.5
29071,4.0
37629,3.0
32098,3.0
50860,3.0
54023,1.0
38611,4.0
46988,5.0
23028,3.0
34176,3.0
827,4.0
43480,3.0
26790,4.0
24995,3.0
42447,4.0
28907,3.0
14477,3.0
32468,3.0
35570,4.0
27605,2.0
31342,3.5
22717,2.0
43161,4.0
43426,0.5
18462,3.0
32400,3.0
44712,4.0
16245,5.0
56805,2.5
44145,4.5
9692,4.0
12154,4.0
14835,3.0
48602,3.0
39562,5.0
3574,4.0
16663,2.0
8442,3.0
22465,3.0
30231,5.0
52452,4.5
53976,4.0
40765,2.5
46990,4.5
23617,2.5
47920,4.0
15538,3.0
7175,1.5
27456,4.0
30314,5.0
49336,2.0
8530,4.0
29401,1.0
48168,5.0
31960,3.5
41664,5.0
37752,4.0
25070,3.5
19493,3.0
27465,3.0
15223,5.0
4689,3.5
20227,4.0
24615,2.5
47314,3.0
31972,4.5
20343,4.0
57794,4.0
27600,4.0
55113,4.0
5579,4.0
34896,4.0
51171,4.0
23549,4.0
28550,5.0
59280,3.0
33075,5.0
59976,3.5
30229,4.0
13213,3.0
29987,4.0
48352,5.0
45456,4.5
8462,3.0
9264,2.5
32152,3.5
37547,4.0
20961,3.5
41152,4.0
8550,4.0
55781,4.0
15354,4.0
41781,3.5
52941,4.0
59796,3.0
42326,3.0
10631,2.5
3292,3.0
48411,4.0
56285,4.5
43684,4.0
15089,3.0
56957,1.0
35688,4.0
34330,3.0
4194,4.0
25954,5.0
45679,4.5
8354,2.0
19061,5.0
36113,5.0
25072,4.0
46760,3.5
14978,3.0
45874,5.0
30195,3.0
43288,5.0
41869,1.5
45597,4.0
21229,5.0
41255,4.0
38024,3.5
12662,2.0
36141,5.0
18250,4.0
34690,4.0
47958,0.5
35618,5.0
28231,4.0
11020,4.0
22228,1.0
58173,3.5
26949,3.5
23646,3.5
53441,1.0
2533,4.5
15792,4.0
4113,3.5
9850,4.0
40365,4.0
8451,0.5
21536,2.0
27023,2.5
19546,5.0
21673,4.0
45790,4.0
30115,5.0
18928,3.0
33629,5.0
9965,3.0
46349,3.0
54001,1.5
6008,0.5
39328,4.0
8987,3.0
11249,4.5
57283,4.5
3174,4.0
30393,3.0
28712,4.0
16229,3.0
3169,3.5
21959,4.0
35698,3.0
29884,4.0
58675,5.0
2868,2.0
40699,2.5
771,4.0
42641,4.0
7406,4.0
47375,4.0
17304,4.0
15576,3.0
8296,3.0
26355,4.5
29156,3.0
44305,2.0
4921,3.0
44730,5.0
27236,4.0
15803,3.0
36028,2.0
21675,4.0
59076,4.5
5864,0.5
58325,2.5
49799,3.0
25692,2.0
6620,4.0
5267,5.0
46500,3.5
49930,4.5
55398,5.0
32583,4.5
57373,5.0
50954,3.0
43933,4.5
29783,4.0
41645,2.0
20899,4.5
52460,3.0
41917,4.5
13982,4.5
47700,2.0
221,3.0
25611,5.0
45078,2.0
57163,2.5
33693,3.5
8182,4.0
58634,4.0
54153,5.0
54721,3.0
59680,5.0
21712,4.0
19245,5.0
45370,4.0
26906,2.5
39207,3.5
50527,3.0
18547,4.0
10855,4.0
46599,5.0
44913,4.0
44075,4.0
35067,3.0
49650,5.0
25960,4.0
9824,5.0
32191,3.5
14254,4.0
56088,4.0
47827,4.0
16665,4.0
40850,3.0
27864,2.0
41890,5.0
40047,2.0
46,4.0
37484,3.0
19295,2.0
31584,3.5
4016,3.0
51127,4.5
11810,4.0
8589,4.0
27681,4.0
2872,3.5
46230,3.5
11997,5.0
29969,4.0
25020,4.0
59765,3.5
27882,4.5
21763,4.0
33251,5.0
22485,4.0
54931,2.5
28324,5.0
5232,4.5
52229,4.0
38280,5.0
39875,3.0
15498,3.0
3990,4.5
11963,4.0
34313,4.0
3689,2.0
49117,5.0
39280,3.0
11543,4.0
41049,4.0
748,1.5
7296,2.5
43345,4.0
59874,3.0
29095,3.5
36368,4.0
55045,5.0
58724,5.0
41609,3.0
42379,4.0
10387,5.0
672,4.0
5778,4.0
14329,4.5
55307,4.5
17951,4.0
33398,4.0
19519,4.0
476,3.0
6933,4.0
55463,4.0
4574,2.0
26460,2.0
48747,3.5
19690,2.5
52241,2.5
53904,2.0
35926,3.0
41909,3.0
11734,4.0
54610,3.0
58404,4.0
15449,4.0
52492,3.0
18680,3.0
38130,1.5
40178,3.0
37190,4.0
53875,3.5
15397,4.0
46692,3.0
58218,4.0
11272,3.5
2754,3.0
34165,4.0
42943,2.5
18071,4.0
29273,5.0
6228,4.0
55902,4.0
19961,4.0
35194,3.5
36647,1.0
42401,5.0
12441,3.0
20429,2.0
5737,2.0
34231,2.5
57608,5.0
13899,3.0
34459,4.0
8412,3.0
28359,2.5
40913,3.0
21794,3.0
17903,3.5
40068,3.5
44620,3.5
38317,1.0
53129,4.0
41366,5.0
32402,4.5
56015,4.0
51371,5.0
59052,4.0
14135,4.5
10800,4.5
14940,1.0
33030,5.0
18797,4.0
26024,5.0
20924,3.0
51443,4.0
50432,5.0
10328,3.5
57528,4.0
14387,4.5
53844,4.0
31967,4.0
7539,5.0
24896,2.5
27936,3.0
53538,4.5
28207,5.0
34652,2.5
8865,4.0
18477,5.0
58636,4.0
22063,5.0
21781,4.0
8058,4.0
19736,5.0
44054,2.0
17224,4.0
27674,3.0
58059,3.5
52885,2.0
36272,3.0
2348,1.0
51945,4.5
43469,3.0
36934,2.0
31884,4.0
5089,3.0
29988,4.0
48065,4.0
27601,4.0
33735,4.0
30368,1.5
48730,4.0
24908,4.0
4747,4.0
33880,2.5
19360,5.0
24789,2.0
57847,1.5
46648,3.0
20576,4.0
395,4.0
43057,4.5
9852,2.0
7417,2.0
31400,3.0
11628,5.0
35321,5.0
34884,4.0
3126,5.0
52298,4.0
16273,0.5
54601,4.0
4581,4.5
2748,3.5
15823,3.0
13862,3.0
23696,3.0
5048,5.0
14548,3.0
25078,4.5
40443,3.0
28455,4.0
1486,4.0
43688,5.0
14475,4.0
31046,1.0
49605,3.5
54566,3.0
40959,3.5
34528,2.0
53331,4.0
4470,3.5
59419,4.0
48667,3.0
19516,4.0
41949,5.0
59623,2.5
4485,5.0
9530,2.0
10148,3.0
53570,2.5
4657,5.0
27921,4.5
44632,4.0
41276,4.0
20463,5.0
16681,4.0
10892,3.5
7723,5.0
39117,4.0
15618,4.0
24478,3.5
59887,4.0
39080,4.5
4053,3.0
23558,2.0
19464,3.0
47399,5.0
20431,3.5
31139,3.0
31672,4.0
56813,4.0
53454,3.0
42373,4.0
6981,4.0
44474,4.0
45387,2.0
11237,3.0
51569,5.0
4658,4.0
23075,3.0
13819,3.5
47912,4.0
41946,3.5
24855,3.5
55543,3.0
54643,5.0
40228,5.0
30543,5.0
7209,4.0
44724,3.0
5259,2.5
53655,1.0
946,3.5
13151,3.5
36079,2.5
12126,3.0
6564,4.0
30976,4.0
23406,4.0
44070,3.5
9068,4.0
812,4.0
52149,3.0
14459,5.0
19234,2.0
43365,3.0
56012,4.0
986,4.0
19054,3.0
38661,4.5
57245,1.0
38068,4.0
23198,4.5
27366,3.0
59398,3.0
42159,4.0
8018,4.0
10258,5.0
41840,4.0
4686,2.0
18899,4.0
58008,5.0
48109,4.0
24444,5.0
37551,4.5
33224,2.0
41866,5.0
10101,3.0
42023,3.0
46388,4.5
34763,2.0
43621,4.5
45193,4.5
24307,3.5
42331,4.0
30485,5.0
54597,3.0
24418,3.0
54671,4.5
48242,3.0
10930,2.5
21984,4.0
54924,1.0
59504,4.0
11595,5.0
37106,3.0
30054,3.0
11637,3.0
10218,2.0
27351,4.0
13765,5.0
10639,4.0
50232,3.0
24778,4.5
55269,3.0
15214,2.0
56333,3.0
14333,4.0
10483,4.0
24498,5.0
50956,3.0
53822,4.0
23108,3.5
17243,4.0
27061,5.0
30166,4.0
49932,3.0
15641,3.0
2619,2.0
23416,3.5
18507,4.5
49120,5.0
36549,3.0
40664,4.0
52824,3.0
3840,3.0
11853,4.5
48637,4.0
1422,3.0
12559,3.0
4733,2.0
13171,3.0
57469,4.0
3752,4.0
23951,4.0
3940,4.0
38262,3.5
18993,2.0
12612,3.0
59588,4.0
41294,3.0
49634,5.0
21728,5.0
27647,4.0
37254,2.5
28742,4.0
35971,2.5
46729,5.0
22553,3.5
8158,5.0
49070,2.5
49246,3.0
48393,4.0
48741,3.0
56704,3.5
7071,2.5
2410,2.5
26826,5.0
26743,2.5
32367,3.0
2422,4.0
43362,4.0
48987,4.0
42051,5.0
49954,3.0
30576,3.0
13331,4.5
49858,3.0
23877,4.0
8797,4.0
46214,4.0
27493,3.0
37644,4.5
52912,3.0
58389,0.5
30587,3.0
7297,4.0
42305,5.0
46868,3.0
32086,4.0
54546,2.0
36957,5.0
12075,3.0
57041,1.5
3995,5.0
30891,4.5
3231,4.5
23929,4.0
21247,4.0
605,2.0
52584,1.5
35852,4.0
22053,3.0
8033,4.5
25283,4.0
19182,5.0
39747,4.0
22135,3.0
19786,5.0
59662,5.0
40984,2.0
58046,3.0
48921,3.0
14553,3.5
568,4.5
31306,4.0
40383,4.0
44236,5.0
28670,4.0
58172,3.5
49324,4.0
21138,3.5
23545,4.0
46142,1.0
35345,4.0
32546,5.0
13108,4.0
14272,3.5
1961,4.0
15388,1.0
28676,4.5
1377,4.0
1141,4.0
5780,4.0
39155,5.0
48511,3.5
24860,3.0
29821,3.0
16633,2.5
18186,4.0
7,3.5
48646,4.0
2527,5.0
55966,4.0
24872,4.0
25686,4.0
35116,3.0
7388,3.0
21938,3.0
695,1.0
18269,3.0
24948,1.0
21454,4.5
10764,3.5
30916,4.0
57979,4.0
42607,2.0
20134,4.0
54693,4.0
50774,4.0
51974,5.0
51340,2.5
52653,2.0
30145,2.0
4038,2.0
38115,0.5
49251,4.5
1414,3.0
39991,4.0
24252,3.0
43044,3.0
37410,3.0
36429,4.0
48275,5.0
12921,3.5
27672,3.0
49118,2.0
5423,2.0
8769,5.0
46852,4.0
46372,3.0
9031,4.0
55355,3.5
5867,3.0
8045,5.0
6978,4.0
10853,3.5
58205,4.0
49407,1.5
46794,4.0
37251,1.0
58943,4.0
12089,3.0
24783,4.5
54958,1.5
26277,4.0
49876,3.5
12050,3.0
42920,4.0
33851,4.0
24945,3.0
7802,5.0
47097,4.0
21067,3.0
44971,4.5
37302,2.5
9239,1.0
57539,2.0
28487,2.5
11114,4.0
16925,3.5
58989,4.0
7758,2.0
49203,4.0
42354,3.0
16860,2.0
5255,2.0
56705,1.5
46755,4.0
54497,4.0
10506,3.0
56949,3.0
43560,5.0
11026,2.0
53030,4.0
45882,3.0
4000,5.0
3467,3.0
12169,4.0
11653,4.5
56565,1.0
59188,4.0
34304,4.0
20829,3.5
45170,3.0
2001,3.0
38756,4.0
28388,4.5
30867,4.0
46012,4.0
9936,3.5
26099,2.5
27150,3.0
26470,3.0
37294,3.0
55189,5.0
17843,1.5
9538,3.0
13387,3.0
57658,3.0
38181,4.0
57082,2.5
31475,4.0
27742,3.5
7962,5.0
33337,4.0
10915,4.0
21906,4.0
6020,3.0
50623,4.0
49960,3.0
36857,3.0
8621,4.5
26568,4.0
55184,3.0
54212,5.0
54848,3.5
58991,3.0
55703,4.0
52238,3.5
24189,1.5
6187,3.0
49179,4.0
42824,3.5
31530,3.0
37569,5.0
853,3.0
46556,4.5
11115,4.0
17646,5.0
29729,2.5
53564,3.5
41685,4.0
25241,3.0
29974,2.5
31706,3.5
57277,1.5
48713,2.0
1855,5.0
32003,3.0
38167,4.0
22957,5.0
59861,3.0
7093,1.5
45654,4.0
6623,4.5
10229,4.0
47498,5.0
52367,4.0
57789,5.0
12191,1.0
37769,2.5
43576,4.5
45924,3.5
52788,4.0
54716,4.0
55250,3.0
50302,3.0
32253,4.0
36556,4.0
52436,2.5
25622,4.0
25731,3.5
33554,4.0
56579,4.0
46638,3.5
2741,3.0
36390,5.0
31742,5.0
32649,3.0
41147,3.5
1323,2.0
52517,2.5
24698,3.0
22094,4.0
46562,2.0
44225,2.5
54094,3.5
56029,5.0
38331,4.0
33928,4.0
9427,3.0
10033,4.5
8273,2.0
1844,2.0
17004,3.5
20104,5.0
43475,4.5
16943,2.5
40491,4.0
48318,4.0
51061,2.0
21303,3.0
15925,4.0
2446,4.5
39769,5.0
7623,2.0
21301,5.0
23488,4.0
40838,4.0
27411,3.5
29676,3.5
15255,4.0
2248,5.0
520,5.0
44077,3.5
44120,5.0
20544,1.0
25574,3.0
26339,5.0
47612,4.0
24420,4.0
37366,4.5
41139,5.0
55302,4.0
35891,3.5
15962,4.0
40885,3.0
58572,4.0
31265,5.0
34591,3.0
5442,4.0
15566,5.0
22079,4.0
33176,2.5
15777,1.0
46932,4.0
4006,3.0
59769,2.0
30565,5.0
3346,4.0
35053,4.0
5408,3.5
58485,5.0
42258,3.0
55396,1.0
42708,4.5
45374,3.5
39825,3.0
4426,2.5
26306,3.0
53263,3.0
42255,4.0
24230,4.0
13943,4.0
15728,5.0
51071,5.0
43205,4.0
26961,3.0
40153,4.0
16230,2.0
40469,4.5
44803,4.0
11181,4.0
54891,4.5
4514,4.0
18967,1.5
33468,3.5
49333,4.0
14163,3.5
20927,3.0
45475,4.0
10518,5.0
18394,4.0
36458,5.0
45020,3.5
12736,5.0
19148,4.5
45703,3.0
8440,2.0
3196,2.0
25306,3.0
28454,5.0
47011,4.0
18052,4.0
17278,4.0
4393,4.5
35735,3.5
2672,3.0
29511,2.5
2638,3.5
1962,5.0
33612,3.0
51791,4.5
3716,2.5
10754,5.0
43353,1.0
54954,2.5
29786,2.0
34590,2.0
43783,1.0
8632,4.0
27544,4.0
24804,3.0
13411,4.0
11386,3.0
58727,4.0
55899,4.5
10796,5.0
18003,4.0
25245,5.0
59344,3.0
49162,2.0
38508,0.5
22233,5.0
46157,4.0
55652,4.5
1642,4.0
49392,3.0
16148,5.0
29968,3.0
9509,5.0
47971,4.0
27250,3.5
54435,3.0
40281,4.5
1686,4.0
28873,4.5
42103,3.5
33997,4.0
36537,4.0
15662,5.0
9257,4.0
52915,4.0
39049,2.5
34072,3.0
10343,4.0
47540,1.5
31322,4.0
3246,3.5
49139,4.0
19123,5.0
13578,5.0
25081,2.5
14460,3.5
44653,4.0
30899,4.0
25360,2.0
20499,3.0
21805,2.5
28147,3.0
14904,4.0
40784,4.0
37253,4.0
33835,4.0
37667,3.5
41014,3.5
42570,4.0
19297,4.0
55088,2.0
19802,5.0
22363,1.5
4506,4.5
54445,2.5
3450,1.0
41903,5.0
12677,4.0
35255,4.0
31166,4.0
47278,5.0
38666,1.0
26933,4.0
2338,5.0
5950,3.0
33753,4.0
44719,3.0
51920,3.5
54629,5.0
25042,5.0
46497,4.0
4804,4.0
8896,4.0
1698,4.5
59824,4.0
16605,3.0
35294,3.0
30224,3.0
9236,1.0
47731,2.0
862,4.0
49355,4.0
11345,5.0
29660,3.0
53049,3.0
27614,5.0
57296,3.0
32094,4.0
29541,5.0
28028,4.5
11914,4.0
11565,3.0
39016,5.0
4865,2.0
34058,4.0
46332,1.0
45909,4.0
49892,4.0
10979,5.0
36208,3.0
17470,1.0
57907,3.0
43703,4.0
30070,3.5
14103,3.0
59505,4.5
39910,3.0
28763,2.0
52600,5.0
10803,2.0
3560,3.0
25924,4.0
44190,5.0
48477,2.5
35815,4.0
55567,1.0
36397,4.0
39574,2.0
19969,4.0
10755,3.0
58560,4.0
42804,5.0
9227,4.5
8195,4.5
9827,4.0
58892,3.0
52053,5.0
24906,5.0
14972,3.0
42324,3.5
19159,3.5
5914,2.0
45942,3.5
31062,3.5
52174,4.5
54358,4.0
12238,4.5
38828,4.0
10338,4.0
31237,5.0
10575,4.0
30876,4.0
37280,1.0
39944,3.0
46508,4.0
52239,4.0
3725,2.5
14866,2.0
50500,4.5
31358,3.0
33172,3.5
37546,3.0
6669,2.5
269,5.0
7965,3.0
26676,4.0
48377,4.0
39204,4.0
31555,3.0
3479,3.0
54214,4.0
23782,5.0
59291,4.5
19371,5.0
11674,5.0
40263,4.0
35219,3.5
16907,5.0
14816,5.0
34044,4.0
42177,4.0
22184,4.0
33645,2.5
44914,5.0
29501,3.0
47892,4.0
26213,4.5
59182,4.0
29823,4.0
54401,3.0
19756,3.0
54853,5.0
33771,4.0
32691,3.0
18822,3.5
54624,4.0
454,4.5
7610,3.0
25613,5.0
38148,3.0
