,user,movie
17504,1041,4702
4057,614,4512
26017,180,6757
10521,2035,4002
7773,1237,19252
25452,96,5897
52456,404,14067
56124,3183,4367
7022,1349,4437
34632,201,1457
33779,1426,892
17760,3155,4497
52196,229,182
14055,2315,15122
29183,474,4692
15037,1251,4077
25900,558,842
24099,1909,8492
35922,2637,24972
25291,103,11642
45305,1300,18002
12073,383,5597
6098,180,17337
9867,117,3057
397,4506,14432
5603,663,29572
38027,1013,9042
1943,838,2732
51918,1419,7057
58902,544,4497
4868,341,1847
25750,614,242
16793,404,8767
8463,2763,2462
19772,264,8812
6457,383,25117
54919,530,25327
35530,614,2667
38144,383,13682
40070,404,16962
33959,404,5667
3366,866,1912
8630,481,5132
46573,1146,11572
36808,320,10272
27029,964,1232
2979,271,5172
50621,404,3782
31968,180,12492
25881,383,34917
10378,1776,5982
45330,2868,777
55208,1440,127
21786,684,3252
30568,2756,527
15115,3316,14327
46976,397,19207
6709,649,4437
57331,404,21977
58563,4345,8297
25388,4492,2997
11879,1538,15272
6029,1202,7837
42208,817,3142
55002,1944,12957
42554,285,882
40589,530,1897
7462,3960,4417
50753,719,17382
12973,558,10572
7719,1916,5327
46507,873,9092
42591,1839,422
22098,3351,10067
12762,82,14317
20166,1685,342
49718,2770,2182
769,754,1372
6057,4513,887
51278,54,192
43562,824,3762
3253,1734,597
20693,257,20072
22306,229,1667
8932,432,11752
39416,1111,6922
2482,2245,7977
13800,747,9162
46916,306,27912
40756,1727,1982
32820,614,21552
35290,1629,2377
53912,537,3307
29858,3589,5832
14094,1426,7692
51621,201,15692
36197,530,18862
46871,873,29912
15073,327,34362
57713,278,9207
39102,397,3082
15403,1237,9822
25171,4184,13372
12576,873,4077
41196,306,28427
42697,4520,4617
7640,2770,852
58740,964,6347
16580,208,2182
47313,383,237
27518,2161,2997
25396,285,8047
52603,3820,3307
54752,1398,57
22713,873,15457
18757,908,12127
55089,2154,17
29899,180,3622
10468,740,1872
39214,1174,25597
4092,1895,6707
16919,439,30997
29866,852,3592
31425,1916,12007
17130,82,14382
55330,4450,3787
5943,306,1882
6958,1426,2442
22067,3015,7792
34981,1111,5857
4231,82,5797
18490,1111,9687
35481,222,3247
51485,2014,33587
43815,4345,402
54443,677,3172
20378,285,9082
14724,320,28992
13078,82,18912
45272,2917,12592
39957,544,5967
40908,1195,1957
46073,320,6882
16139,824,1367
35362,3498,2277
37337,3309,3292
52927,593,57
44641,1937,7827
1094,1048,2512
36514,684,10237
40329,2770,6872
21243,3274,19517
55950,2189,777
18524,1272,5407
10806,3673,18362
35739,2630,127
56720,82,2617
22282,614,7452
54238,1405,12722
48447,719,3517
14958,649,952
44677,19,11747
40566,1426,2322
45536,3190,3507
23767,2644,10202
54124,558,4692
40058,320,6592
54386,873,1682
13754,3897,1307
29898,1545,1407
15776,75,18597
43002,2896,457
52966,117,8687
54869,537,16072
44272,1293,15897
6927,670,8527
40407,257,5122
13561,803,9802
14450,4380,2752
41715,1811,21432
46985,712,7197
793,1041,4522
32312,75,20817
4532,2315,1192
30320,796,1122
55501,3932,342
25681,320,9822
21425,89,13027
4499,747,1112
59141,2553,307
41980,75,23592
55577,4387,4382
45899,460,967
30465,145,32427
34289,446,2442
28708,3204,41217
41846,1692,2352
6554,789,4582
12000,2091,137
29571,1041,4447
9868,89,20382
39233,1440,502
48573,222,4842
54578,1671,15807
33613,4310,20857
59111,1223,7827
47984,2259,3047
20362,1853,4772
47707,3463,15722
40742,2882,21847
53802,3190,9412
51265,698,17
18228,747,16452
59226,1426,2147
8933,740,6497
8281,61,15042
44004,1041,13377
26351,2091,38737
2331,2427,8107
1506,3722,3682
31574,383,7142
19099,908,11587
8573,306,7802
4488,656,2352
32085,1013,7742
47907,271,8112
58741,1496,3232
13059,2273,2597
5783,82,42937
39687,1769,2342
47684,376,4507
36665,887,37
12321,201,3222
32240,2756,4757
19350,747,4252
40345,607,33577
40304,1503,1037
54519,264,4172
12201,54,4122
16607,1566,3242
59379,3603,927
3456,4541,5062
44585,1860,4127
19769,75,24147
24364,614,4477
29620,782,12142
52979,1545,5777
4094,1055,14727
6380,145,4372
54224,1685,7437
6674,2210,7297
3758,481,16887
17819,747,29772
7158,404,20452
38975,1202,527
5392,607,2807
1925,866,7262
3172,684,1192
7257,530,5752
54027,3953,1262
28142,341,14112
43921,1559,7207
25719,82,17942
1658,320,20017
48966,285,2147
40519,1468,4707
50886,152,6647
48321,124,24752
43407,1055,16607
46430,2595,22962
53462,3232,3762
33406,12,2847
50506,3106,1092
4758,222,9412
42596,1769,2042
33511,2525,497
37525,306,6497
31002,1230,7152
38152,1300,1202
26588,677,2622
26185,180,32402
40090,152,4437
34194,2028,57
55755,1650,1702
49563,1426,19892
23480,306,2257
12406,2210,1602
17114,1286,27697
29876,614,5077
23397,782,21057
53809,285,3077
51523,2812,12192
42520,873,10617
10175,383,777
39907,1783,15122
2994,3764,8332
27686,1300,11967
57108,635,35352
33636,3477,1477
50415,180,7342
48926,4121,11187
41416,3351,34142
47012,1125,31727
41266,3288,3407
11896,481,13942
5013,1783,13802
5609,3435,3762
47704,607,18982
52969,201,3597
35483,1272,2242
58393,544,5227
48337,2315,8642
2885,285,9427
33102,2098,3837
44006,621,4022
6300,1300,11842
28527,439,34602
25500,677,2352
12058,894,8552
53626,2700,1987
1654,180,2227
7432,1097,3912
28217,1041,9447
40355,2574,6952
15939,537,12827
29071,320,38057
37629,2903,172
32098,2539,7067
50860,740,8397
54023,2343,23562
38611,1825,13362
46988,439,2332
23028,544,4162
34176,75,23112
827,1146,27
43480,2035,21557
26790,103,12077
24995,2084,13472
42447,3351,3527
28907,677,11497
14477,2938,11552
32468,2798,9247
35570,313,2482
27605,684,5482
31342,2882,8587
22717,82,10887
43161,824,5977
43426,208,5132
18462,2021,1202
32400,782,7222
44712,362,1452
16245,390,14067
56805,747,25747
44145,180,1912
9692,810,2707
12154,1286,16667
14835,544,1237
48602,3554,1242
39562,1475,1727
3574,264,2677
16663,1748,1297
8442,82,3307
22465,1832,2597
30231,3323,727
52452,754,11557
53976,404,8037
40765,614,8492
46990,719,1912
23617,1104,23307
47920,1041,11327
15538,1090,172
7175,1426,11727
27456,439,3077
30314,1454,427
49336,285,292
8530,1237,11727
29401,383,18832
48168,852,617
31960,971,13537
41664,131,11942
37752,1545,13097
25070,607,8597
19493,488,2762
27465,698,4237
15223,2140,2447
4689,1349,1862
20227,2931,2297
24615,922,39657
47314,194,2377
31972,131,1502
20343,2399,1352
57794,635,13497
27600,3176,2312
55113,747,1082
5579,404,3037
34896,1244,13067
51171,229,6832
23549,3505,12952
28550,19,8217
59280,383,33852
33075,4219,9297
59976,3428,3947
30229,285,37637
13213,3407,3622
29987,4513,82
48352,1216,3902
45456,838,3367
8462,1391,2727
9264,2378,1892
32152,467,22357
37547,75,3397
20961,621,3797
41152,264,14067
8550,2735,1822
55781,614,357
15354,1398,1502
41781,1706,1622
52941,4415,7342
59796,75,2342
42326,3561,4112
10631,2665,2727
3292,2553,30112
48411,481,5252
56285,439,13532
43684,894,1442
15089,677,6087
56957,2392,29407
35688,810,34057
34330,2329,11372
4194,404,10027
25954,2077,3902
45679,2238,7777
8354,2238,7917
19061,1405,102
36113,1475,3947
25072,1783,6407
46760,180,30342
14978,544,2962
45874,2742,8687
30195,82,502
43288,404,22687
41869,180,1407
45597,138,967
21229,320,19682
41255,3127,11462
38024,82,2662
12662,810,5007
36141,1524,8042
18250,82,18182
34690,705,2917
47958,383,8927
35618,299,2357
28231,1825,357
11020,1615,2302
22228,1006,26667
58173,747,5182
26949,2189,747
23646,82,2882
53441,425,31222
2533,1944,6137
15792,19,1672
4113,1139,40112
9850,3862,6747
40365,2581,7927
8451,782,19037
21536,383,1607
27023,89,32812
19546,2385,3397
21673,698,1882
45790,96,1847
30115,40,4402
18928,320,44502
33629,488,6222
9965,1671,5107
46349,110,7207
54001,1426,13377
6008,355,44777
39328,341,422
8987,89,427
11249,439,10172
57283,82,17907
3174,285,13007
30393,4555,1037
28712,439,25427
16229,1727,29027
3169,1713,1927
21959,54,8167
35698,635,38412
29884,1804,5962
58675,516,2997
2868,481,417
40699,383,4597
771,684,5052
42641,257,2667
7406,201,3397
47375,1258,12127
17304,201,17747
15576,12,26717
8296,306,137
26355,2378,2217
29156,684,19187
44305,1090,4832
4921,481,20367
44730,432,1512
27236,299,17482
15803,2287,3332
36028,964,17442
21675,278,527
59076,1069,642
5864,782,18117
58325,747,4742
49799,453,1547
25692,2847,11167
6620,1006,377
5267,3393,362
46500,747,712
49930,418,2202
55398,2063,362
32583,3736,21432
57373,824,182
50954,1510,1802
43933,82,312
29783,3015,4257
41645,1426,19577
20899,894,132
52460,341,12352
41917,908,11732
13982,677,307
47700,180,3897
221,712,1397
25611,964,12557
45078,747,15687
57163,2238,13972
33693,1300,14612
8182,418,8087
58634,824,5582
54153,705,6567
54721,82,15387
59680,1321,1617
21712,355,7792
19245,425,952
45370,2770,11247
26906,3365,4372
39207,537,1872
50527,1090,9312
18547,2833,762
10855,2798,882
46599,1986,2612
44913,1055,16557
44075,1790,47
35067,75,3332
49650,4674,4382
25960,47,5022
9824,2245,1232
32191,873,17682
14254,19,102
56088,1349,357
47827,103,4692
16665,2301,12012
40850,320,4752
27864,1244,19802
41890,810,32047
40047,1426,2962
46,264,7932
37484,3568,7462
19295,4380,4497
31584,768,3242
4016,3057,277
51127,2238,1832
11810,404,10137
8589,4044,7367
27681,1153,1532
2872,229,7447
46230,894,7862
11997,789,9357
29969,187,11717
25020,2000,14117
59765,180,5982
27882,1132,347
21763,1727,18997
33251,2105,3902
22485,1174,5077
54931,614,4737
28324,3960,2227
5232,1608,1762
52229,180,2412
38280,2658,1292
39875,2084,10812
15498,1559,882
3990,1804,13432
11963,1713,1217
34313,285,1352
3689,4149,5477
49117,82,11007
39280,747,3822
11543,4128,14787
41049,2721,6592
748,383,15742
7296,12,22182
43345,1559,26502
59874,1153,7977
29095,922,8637
36368,1174,7812
55045,54,8467
58724,3190,5707
41609,306,1832
42379,2756,5227
10387,285,847
672,1797,9777
5778,404,19982
14329,4695,2112
55307,4128,3047
17951,320,4322
33398,2917,7167
19519,285,1832
476,271,7692
6933,2350,7572
55463,1041,6582
4574,698,6702
26460,2623,15457
48747,2308,642
19690,383,19372
52241,75,21407
53904,2189,6577
35926,2217,13682
41909,75,5172
11734,3351,6167
54610,873,7262
58404,516,6317
15449,1531,7902
52492,3190,7142
18680,754,15182
38130,383,7747
40178,201,2582
37190,2945,8502
53875,544,13472
15397,82,22877
46692,2133,1957
58218,2896,727
11272,68,21107
2754,187,2342
34165,320,1147
42943,89,7742
18071,2021,242
29273,3078,12897
6228,2210,3242
55902,54,62
19961,341,11642
35194,1580,36967
36647,677,36652
42401,418,3097
12441,705,14627
20429,747,6627
5737,383,6102
34231,397,5382
57608,530,29397
13899,306,10137
34459,4394,35547
8412,341,642
28359,75,12237
40913,796,3887
21794,922,1642
17903,1706,9707
40068,1230,6032
44620,908,16427
38317,782,2732
53129,82,40597
41366,96,22497
32402,2378,9867
56015,2889,7547
51371,3246,1832
59052,1125,4297
14135,873,22852
10800,1524,1987
14940,1398,8377
33030,1132,2822
18797,2385,6902
26024,4233,5052
20924,922,26577
51443,82,31632
50432,656,4442
10328,306,2092
57528,3883,1872
14387,1972,9412
53844,3155,27057
31967,565,8997
7539,1440,82
24896,2399,6462
27936,684,4497
53538,747,42847
28207,2889,9202
34652,2945,5757
8865,1629,12087
18477,1650,4822
58636,124,6242
22063,26,2862
21781,1909,6492
8058,33,4787
19736,2497,13347
44054,3351,12012
17224,2903,427
27674,341,1987
58059,383,29247
52885,264,7162
36272,586,1397
2348,75,10597
51945,1496,29057
43469,3225,797
36934,1405,832
31884,299,2547
5089,201,17597
29988,831,712
48065,82,1877
27601,999,5132
33735,1713,15252
30368,82,4167
48730,1153,27442
24908,19,4112
4747,922,2052
33880,642,6102
19360,96,5657
24789,712,18072
57847,89,242
46648,2098,12732
20576,306,9787
395,320,7592
43057,1069,3787
9852,201,30577
7417,1216,1457
31400,432,5737
11628,530,967
35321,1202,21502
34884,810,667
3126,1132,357
52298,3183,1037
16273,180,1552
54601,2910,4367
4581,54,11737
2748,1475,1567
15823,1790,20147
13862,1153,13267
23696,397,8927
5048,796,852
14548,285,337
25078,2294,43427
40443,1748,21062
28455,257,4437
1486,628,8552
43688,26,1617
14475,936,1982
31046,1146,20462
49605,1097,9207
54566,285,13117
40959,306,37037
34528,208,4642
53331,2364,1887
4470,2427,9682
59419,908,16722
48667,3393,7367
19516,838,4307
41949,530,16127
59623,383,14492
4485,2742,8167
9530,2588,11167
10148,866,7332
53570,614,3402
4657,1132,1832
27921,481,31432
44632,320,31267
41276,775,927
20463,2357,1262
16681,320,987
10892,747,30492
7723,390,352
39117,1615,10807
15618,1083,32
24478,110,7122
59887,1860,4132
39080,180,7017
4053,4016,417
23558,383,30937
19464,3519,2342
47399,2014,2732
20431,2532,18212
31139,1174,11582
31672,278,3277
56813,40,5117
53454,1328,3122
42373,712,20792
6981,1258,457
44474,404,16357
45387,1006,16317
11237,747,3537
51569,404,1672
4658,173,5697
23075,1650,29712
13819,208,8942
47912,2441,1047
41946,866,3622
24855,747,532
55543,12,36677
54643,1734,41147
40228,698,7207
30543,3302,6782
7209,1125,3452
44724,320,2827
5259,3337,6912
53655,383,15442
946,782,22647
13151,82,8407
36079,908,7022
12126,201,36247
6564,439,10697
30976,194,3352
23406,2175,8737
44070,1335,23232
9068,908,7872
812,1041,12592
52149,4366,1092
14459,3715,82
19234,75,9642
43365,1104,15437
56012,3197,952
986,4184,1792
19054,320,29562
38661,1125,19622
57245,3925,13672
38068,3162,277
23198,1944,2972
27366,404,9112
59398,4646,547
42159,180,7172
8018,4317,14592
10258,1853,14092
41840,537,4397
4686,1349,6647
18899,866,16192
58008,1223,6642
48109,306,802
24444,2553,28932
37551,1825,747
33224,1426,24177
41866,2560,712
10101,607,11242
42023,3288,2132
46388,523,1572
34763,4170,1702
43621,2749,1667
45193,1426,19882
24307,747,2627
42331,1846,1342
30485,3701,617
54597,1055,10677
24418,1237,23892
54671,460,19172
48242,4464,7782
10930,1300,16012
21984,1139,12742
54924,4667,1682
59504,61,2862
11595,3113,23287
37106,390,10072
30054,3624,10612
11637,285,1512
10218,1167,4912
27351,817,10627
13765,1300,11512
10639,4086,13312
50232,1916,25652
24778,2357,6917
55269,957,1987
15214,1398,142
56333,1615,4002
14333,257,14087
10483,1300,14087
24498,1734,33007
50956,1174,10402
53822,3393,14007
23108,873,11047
17243,3554,12542
27061,3673,10442
30166,747,16202
49932,2378,4667
15641,1426,9502
2619,2133,1037
23416,1300,11482
18507,887,7167
49120,4604,9362
36549,306,17507
40664,2693,10882
52824,1146,1202
3840,1083,4907
11853,1524,4762
48637,831,1832
1422,607,33562
12559,4674,6777
4733,2448,11292
13171,1482,1667
57469,320,1777
3752,418,1802
23951,2448,31092
3940,1174,8332
38262,1230,957
18993,873,5407
12612,124,887
59588,740,3082
41294,635,37912
49634,1559,5597
21728,2553,17662
27647,3197,41117
37254,1048,5442
28742,3183,3307
35971,481,22302
46729,2427,5407
22553,1125,35142
8158,3757,2592
49070,82,32777
49246,180,927
48393,383,4867
48741,873,19692
56704,719,6702
7071,1958,892
2410,2308,17217
26826,3190,16252
26743,530,657
32367,3897,2372
2422,453,3537
43362,761,4522
48987,2259,11637
42051,3848,2662
49954,4415,6662
30576,1237,9117
13331,1069,342
49858,1146,1277
23877,3519,9747
8797,1566,1667
46214,908,5077
27493,257,19742
37644,12,532
52912,866,787
58389,2238,92
30587,383,4127
7297,887,2312
42305,1258,11072
46868,180,26432
32086,1909,4147
54546,1062,797
36957,2077,882
12075,2245,11652
57041,1748,137
3995,3155,1397
30891,2357,6902
3231,2875,9497
23929,1237,3337
21247,1972,1327
605,180,31997
52584,2798,2312
35852,1692,3722
22053,1153,10237
8033,1125,1087
25283,985,2002
19182,1153,7062
39747,285,20557
22135,2245,827
19786,1286,907
59662,789,11792
40984,698,13207
58046,1629,7332
48921,747,2782
14553,180,10887
568,719,2517
31306,4016,3307
40383,3092,16787
44236,530,1457
28670,264,1507
58172,2448,10977
49324,3204,6062
21138,607,1372
23545,89,9282
46142,383,25087
35345,1909,2372
32546,3554,13332
13108,2077,27
14272,873,10477
1961,2378,2382
15388,2770,1452
28676,2189,2822
1377,1629,122
1141,4653,14267
5780,306,14882
39155,264,2827
48511,2077,142
24860,446,5482
29821,4513,23927
16633,306,7337
18186,2805,4642
7,873,5222
48646,2770,23867
2527,1608,3322
55966,2525,1057
24872,320,787
25686,3848,25112
35116,1111,1817
7388,180,6007
21938,1783,9437
695,383,45132
18269,4149,9167
24948,404,34127
21454,1916,532
10764,1594,1897
30916,803,10207
57979,285,2787
42607,110,10277
20134,754,12362
54693,530,30802
50774,3792,5662
51974,1895,1727
51340,481,6312
52653,481,15957
30145,3981,1242
4038,390,22132
38115,2315,6232
49251,782,9437
1414,936,252
39991,922,1567
24252,761,17782
43044,3400,5257
37410,2875,6027
36429,1440,402
48275,1860,24107
12921,2133,2432
27672,383,922
49118,747,787
5423,663,11222
8769,271,19357
46852,1055,4912
46372,1426,9492
9031,2245,2002
55355,2553,2222
5867,593,29512
8045,82,2597
6978,75,1787
10853,271,657
58205,1223,1957
49407,75,37222
46794,2021,5427
37251,684,12492
58943,1300,712
12089,61,17762
24783,1363,18947
54958,481,2327
26277,383,32917
49876,782,22997
12050,3225,467
42920,4212,2872
33851,201,977
24945,180,2462
7802,1167,3902
47097,3708,4117
21067,404,3622
44971,180,8002
37302,1265,6097
9239,327,3922
57539,614,24952
28487,747,16407
11114,2665,11212
16925,908,22827
58989,2238,1347
7758,3946,1087
49203,1706,31712
42354,957,4082
16860,747,10992
5255,1993,5257
56705,2049,1397
46755,537,437
54497,922,37457
10506,1125,12077
56949,635,3497
43560,572,29852
11026,341,21892
53030,964,38977
45882,390,5837
4000,3302,8502
3467,82,10512
12169,3351,9437
11653,544,12247
56565,2357,572
59188,299,3977
34304,82,19222
20829,1748,15957
45170,26,1012
2001,2679,2012
38756,3106,14387
28388,19,4727
30867,1111,1397
46012,201,15947
9936,873,3027
26099,110,4012
27150,61,3067
26470,649,26347
37294,873,14832
55189,1244,3902
17843,747,6537
9538,89,13567
13387,1426,6497
57658,1195,532
38181,1111,14667
57082,1433,9822
31475,936,10117
27742,2077,5112
7962,3715,4582
33337,530,40117
10915,1237,432
21906,1426,13762
6020,299,20297
50623,768,14117
49960,698,25572
36857,180,1917
8621,544,2442
26568,2448,17177
55184,2525,697
54212,2805,882
54848,873,7277
58991,3316,22962
55703,2777,5172
52238,180,21972
24189,82,13472
6187,1286,2332
49179,208,712
42824,1251,7822
31530,3834,9412
37569,698,3067
853,1440,41787
46556,292,7152
11115,894,4237
17646,1972,10732
29729,992,2082
53564,565,5587
41685,4303,2827
25241,1559,5107
29974,1398,5482
31706,3113,38812
57277,383,26812
48713,2126,15092
1855,656,43247
32003,1426,3947
38167,383,6807
22957,1797,2812
59861,82,23712
7093,383,14647
45654,82,29007
6623,1132,2987
10229,1762,13472
47498,404,6067
52367,12,3027
57789,530,14102
12191,817,3062
37769,2448,20332
43576,19,2342
45924,747,18357
52788,1895,3472
54716,2462,1747
55250,75,24832
50302,243,5442
32253,3470,7982
36556,404,1597
52436,635,6152
25622,1783,3802
